TimeOfDay;DayOfYear;BaseTemperature;BaseHumidity;ActualTemperature;ActualHumidity;PrecipChange;PrecipIntensity;PrecipTemperature;PrecipDuration;CloudCover;Fogginess;WindSpeed;WindDirection;Raining;Thundering;Snowing;GRPT;GWPT;GAPT;CRPT;CWPT;CAPT;GRTPT;GWTPT;CRTPT;CWTPT;TPBT;TPT;TPET;AvgAge;AvgAgeNonzero;MaxAge;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008239999;0.0003659999;0.05692799;0.0002459999;0.06822798;0.2418901;0.04996799;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.00082;0.0003619999;0.056926;0.0002459999;0.06829199;0.2418921;0.050328;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008159999;0.000358;0.05693;0.0002459999;0.07022799;0.2418942;0.05033;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008239999;0.0003639999;0.05693;0.0002459999;0.07044398;0.2418962;0.05042;0.002;1.052632;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008399998;0.000374;0.08409;0.0003059999;0.07048799;0.2418962;0.050738;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008439999;0.000378;0.084088;0.0003079999;0.09776198;0.2545882;0.065822;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000858;0.000372;0.084088;0.0003079998;0.09780598;0.2545862;0.06593;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000862;0.00037;0.08409;0.0003079998;0.09782597;0.2545862;0.065876;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000862;0.000338;0.054564;0.0002359999;0.09784597;0.2545862;0.06591;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000864;0.000332;0.054564;0.0002359999;0.06793;0.043396;0.05079601;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000866;0.000334;0.054564;0.0002339999;0.067966;0.043396;0.05098201;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000854;0.000328;0.054566;0.0002339999;0.06802399;0.043398;0.051004;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000846;0.000322;0.05456;0.0002339999;0.06800999;0.04339799;0.05073801;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008479999;0.000326;0.05455599;0.0002339999;0.06490599;0.04339399;0.050372;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008559999;0.0003280001;0.05455799;0.0002319999;0.065012;0.04339599;0.050674;0.003;1.034483;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008539999;0.000342;0.08168998;0.0002859999;0.092186;0.05600199;0.06524799;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008459999;0.000344;0.08169;0.0002859999;0.09222599;0.05599999;0.06530399;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.0008459999;0.000342;0.08169;0.0002859999;0.09226599;0.05599998;0.08105999;0.004;1.025641;2;
0;0;0;0;0;0;1.705668;0;0;0;0.3389794;0.02553415;2.825405;0;False;False;False;NaN;NaN;NaN;10000;10000;20000;0.000844;0.000344;0.08170199;0.0002859999;0.092244;0.05599998;0.08104599;0.004;1.025641;2;
